pays,ligue1,ligue2,ligue3,ligue4
Afghanistan,Afghan Premier League,,,
Afrique du Sud,PSL,National First Division,SAFA Second Division,
Albanie,Kategoria Superiore,Kategoria e Parë,Kategoria e Dytë,
Algérie,Ligue 1,Ligue 2,Inter-Régions,
Allemagne,Bundesliga,2. Bundesliga,3. Liga,Regionalliga
Andorre,Primera Divisió,Segona Divisió,,
Angleterre,Premier League,Championship,League One,League Two
Angola,Girabola,Segundona,,
Arabie Saoudite,Saudi Pro League,First Division,Second Division,
Argentine,Liga Profesional,Primera Nacional,Primera B,Primera C
Arménie,Premier League,First League,,
Australie,A-League,NPL,,
Autriche,Bundesliga,2. Liga,Regionalliga,
Azerbaïdjan,Premier League,First Division,,
Bahreïn,Premier League,Second Division,,
Bangladesh,Premier League,Championship,,
Belgique,Pro League,Challenger Pro League,National Division 1,
Bénin,Super Ligue,Championnat D2,,
Biélorussie,Premier League,First League,Second League,
Birmanie,National League,,
Bolivie,División Profesional,Copa Simón Bolívar,,
Bosnie,Premier League,First League,,
Botswana,Premier League,First Division,,
Brésil,Série A,Série B,Série C,Série D
Bulgarie,First League,Second League,Third League,
Burkina Faso,Fasofoot Ligue 1,,
Burundi,Premier League,,
Cambodge,C-League,,
Cameroun,Elite One,Elite Two,,
Canada,Canadian Premier League,League1 Ontario,PLSQ,
Cap-Vert,Campeonato Nacional,,
Centrafrique,Central African Republic League,,
Chili,Primera División,Primera B,Segunda División,
Chine,Super League,League One,League Two,
Chypre,First Division,Second Division,Third Division,
Colombie,Primera A,Primera B,,
Comores,Comoros Premier League,,
Congo,Congo Premier League,,
Corée du Sud,K League 1,K League 2,K3 League,
Costa Rica,Primera División,Segunda División,,
Côte d'Ivoire,Ligue 1,Ligue 2,,
Croatie,HNL,Prva NL,Druga NL,
Cuba,Campeonato Nacional,,
Danemark,Superliga,1. Division,2. Division,3. Division
Djibouti,Premier League,,
Écosse,Scottish Premiership,Championship,League One,League Two
Égypte,Egyptian Premier League,Second Division,,
Émirats Arabes Unis,UAE Pro League,First Division,,
Équateur,Serie A,Serie B,,
Érythrée,Eritrean Premier League,,
Espagne,La Liga,Segunda División,Primera RFEF,Segunda RFEF
Estonie,Meistriliiga,Esiliiga,,
Eswatini,Premier League,,
Éthiopie,Ethiopian Premier League,,
Finlande,Veikkausliiga,Ykkönen,Kakkonen,
France,Ligue 1,Ligue 2,National 1,National 2
Gabon,Championnat National D1,,
Gambie,GFA League First Division,,
Géorgie,Erovnuli Liga,Erovnuli Liga 2,,
Ghana,Ghana Premier League,Division One,,
Gibraltar,National League,,
Grèce,Super League,Super League 2,Gamma Ethniki,
Guatemala,Liga Nacional,,
Guinée,Championnat National,,
Guinée-Bissau,Guiné-Bissau Championship,,
Guinée équatoriale,Equatoguinean Premier League,,
Guyana,GFF Elite League,,
Haïti,Championnat National D1,,
Honduras,Liga Nacional,,
Hong Kong,Premier League,First Division,Second Division
Hongrie,NB I,NB II,NB III,
